# Which sukta each source file holds.
#
# The filenames do not say: 650 of the 830 were saved by a browser as
# "SELECT MANDALA (n).txt", where n is the download counter and not the
# position in the book. Inferring the mapping from that counter looked
# convincing and was wrong for 82 suktas — Mandala 4 alone drifted by two
# — so every line here was instead matched on the text itself, by the
# opening of each first verse with the accents stripped, against an
# independently published index of the same recension
# (github.com/bhavykhatri/DharmicData, which carries the same source text
# with mandala and sukta labelled). 828 of 830 matched uniquely, none
# ambiguously, none to the same sukta twice. Of the two that did not:
# Mandala 01 Sukta 025 has its header and first verse on one line, which
# defeated the fingerprint, and its filename names it; and
# "SELECT MANDALA (463).txt" was a nought-byte download and is dropped.
#
# A citation must never be renumbered, so it is worth being sure.
mandala,sukta,file
1,1,Rigveda – Shakala Samhita – Mandala 01 Sukta 001.txt
1,2,Rigveda – Shakala Samhita – Mandala 01 Sukta 002.txt
1,3,Rigveda – Shakala Samhita – Mandala 01 Sukta 003.txt
1,4,Rigveda – Shakala Samhita – Mandala 01 Sukta 004.txt
1,5,Rigveda – Shakala Samhita – Mandala 01 Sukta 005.txt
1,6,Rigveda – Shakala Samhita – Mandala 01 Sukta 006.txt
1,7,Rigveda – Shakala Samhita – Mandala 01 Sukta 007.txt
1,10,Rigveda – Shakala Samhita – Mandala 01 Sukta 010.txt
1,11,Rigveda – Shakala Samhita – Mandala 01 Sukta 011.txt
1,12,Rigveda – Shakala Samhita – Mandala 01 Sukta 012.txt
1,13,Mandala 01.txt
1,14,Rigveda – Shakala Samhita – Mandala 01 Sukta 014.txt
1,15,Rigveda – Shakala Samhita – Mandala 01 Sukta 015.txt
1,16,Rigveda – Shakala Samhita – Mandala 01 Sukta 016.txt
1,17,Rigveda – Shakala Samhita – Mandala 01 Sukta 017.txt
1,18,Rigveda – Shakala Samhita – Mandala 01 Sukta 018.txt
1,19,Mandala 01 (1).txt
1,24,Rigveda – Shakala Samhita – Mandala 01 Sukta 024.txt
1,25,Rigveda – Shakala Samhita – Mandala 01 Sukta 025.txt
1,28,Rigveda – Shakala Samhita – Mandala 01 Sukta 028.txt
1,29,Rigveda – Shakala Samhita – Mandala 01 Sukta 029.txt
1,30,Rigveda – Shakala Samhita – Mandala 01 Sukta 030.txt
1,31,Rigveda – Shakala Samhita – Mandala 01 Sukta 031.txt
1,38,Rigveda – Shakala Samhita – Mandala 01 Sukta 038.txt
1,39,Rigveda – Shakala Samhita – Mandala 01 Sukta 039.txt
1,40,Rigveda – Shakala Samhita – Mandala 01 Sukta 040.txt
1,41,Rigveda – Shakala Samhita – Mandala 01 Sukta 041.txt
1,42,Rigveda – Shakala Samhita – Mandala 01 Sukta 042.txt
1,43,Rigveda – Shakala Samhita – Mandala 01 Sukta 043.txt
1,44,Rigveda – Shakala Samhita – Mandala 01 Sukta 044.txt
1,45,Rigveda – Shakala Samhita – Mandala 01 Sukta 045.txt
1,46,Rigveda – Shakala Samhita – Mandala 01 Sukta 046.txt
1,47,Rigveda – Shakala Samhita – Mandala 01 Sukta 047.txt
1,48,Rigveda – Shakala Samhita – Mandala 01 Sukta 048.txt
1,49,Rigveda – Shakala Samhita – Mandala 01 Sukta 049.txt
1,50,Rigveda – Shakala Samhita – Mandala 01 Sukta 050.txt
1,51,Rigveda – Shakala Samhita – Mandala 01 Sukta 051.txt
1,52,Rigveda – Shakala Samhita – Mandala 01 Sukta 052.txt
1,53,Rigveda – Shakala Samhita – Mandala 01 Sukta 053.txt
1,54,Rigveda – Shakala Samhita – Mandala 01 Sukta 054.txt
1,55,Rigveda – Shakala Samhita – Mandala 01 Sukta 055.txt
1,56,Rigveda – Shakala Samhita – Mandala 01 Sukta 056.txt
1,57,Rigveda – Shakala Samhita – Mandala 01 Sukta 057.txt
1,58,Rigveda – Shakala Samhita – Mandala 01 Sukta 058.txt
1,59,Rigveda – Shakala Samhita – Mandala 01 Sukta 059.txt
1,60,Rigveda – Shakala Samhita – Mandala 01 Sukta 060.txt
1,61,Rigveda – Shakala Samhita – Mandala 01 Sukta 061.txt
1,62,Rigveda – Shakala Samhita – Mandala 01 Sukta 062.txt
1,63,Rigveda – Shakala Samhita – Mandala 01 Sukta 063.txt
1,64,Rigveda – Shakala Samhita – Mandala 01 Sukta 064.txt
1,65,Rigveda – Shakala Samhita – Mandala 01 Sukta 065.txt
1,66,Rigveda – Shakala Samhita – Mandala 01 Sukta 066.txt
1,67,Rigveda – Shakala Samhita – Mandala 01 Sukta 067.txt
1,68,Rigveda – Shakala Samhita – Mandala 01 Sukta 068.txt
1,69,Rigveda – Shakala Samhita – Mandala 01 Sukta 069.txt
1,70,Rigveda – Shakala Samhita – Mandala 01 Sukta 070.txt
1,71,Rigveda – Shakala Samhita – Mandala 01 Sukta 071.txt
1,72,Rigveda – Shakala Samhita – Mandala 01 Sukta 072.txt
1,73,Rigveda – Shakala Samhita – Mandala 01 Sukta 073.txt
1,74,Rigveda – Shakala Samhita – Mandala 01 Sukta 074.txt
1,75,Rigveda – Shakala Samhita – Mandala 01 Sukta 075.txt
1,76,Rigveda – Shakala Samhita – Mandala 01 Sukta 076.txt
1,77,Rigveda – Shakala Samhita – Mandala 01 Sukta 077.txt
1,78,Rigveda – Shakala Samhita – Mandala 01 Sukta 078.txt
1,79,Rigveda – Shakala Samhita – Mandala 01 Sukta 079.txt
1,80,Rigveda – Shakala Samhita – Mandala 01 Sukta 080.txt
1,81,Rigveda – Shakala Samhita – Mandala 01 Sukta 081.txt
1,82,Rigveda – Shakala Samhita – Mandala 01 Sukta 082.txt
1,83,Rigveda – Shakala Samhita – Mandala 01 Sukta 083.txt
1,84,Rigveda – Shakala Samhita – Mandala 01 Sukta 084.txt
1,85,Rigveda – Shakala Samhita – Mandala 01 Sukta 085.txt
1,86,Rigveda – Shakala Samhita – Mandala 01 Sukta 086.txt
1,87,Rigveda – Shakala Samhita – Mandala 01 Sukta 087.txt
1,88,Rigveda – Shakala Samhita – Mandala 01 Sukta 088.txt
1,89,Rigveda – Shakala Samhita – Mandala 01 Sukta 089.txt
1,90,Rigveda – Shakala Samhita – Mandala 01 Sukta 090.txt
1,91,Rigveda – Shakala Samhita – Mandala 01 Sukta 091.txt
1,92,Rigveda – Shakala Samhita – Mandala 01 Sukta 092.txt
1,93,Rigveda – Shakala Samhita – Mandala 01 Sukta 093.txt
1,94,Rigveda – Shakala Samhita – Mandala 01 Sukta 094.txt
1,95,Rigveda – Shakala Samhita – Mandala 01 Sukta 095.txt
1,96,Rigveda – Shakala Samhita – Mandala 01 Sukta 096.txt
1,97,Rigveda – Shakala Samhita – Mandala 01 Sukta 097.txt
1,98,Rigveda – Shakala Samhita – Mandala 01 Sukta 098.txt
1,99,Rigveda – Shakala Samhita – Mandala 01 Sukta 099.txt
1,100,Rigveda – Shakala Samhita – Mandala 01 Sukta 100.txt
1,101,Rigveda – Shakala Samhita – Mandala 01 Sukta 101.txt
1,102,Rigveda – Shakala Samhita – Mandala 01 Sukta 102.txt
1,103,Rigveda – Shakala Samhita – Mandala 01 Sukta 103.txt
1,104,Rigveda – Shakala Samhita – Mandala 01 Sukta 104.txt
1,105,Rigveda – Shakala Samhita – Mandala 01 Sukta 105.txt
1,106,Rigveda – Shakala Samhita – Mandala 01 Sukta 106.txt
1,107,Rigveda – Shakala Samhita – Mandala 01 Sukta 107.txt
1,108,Rigveda – Shakala Samhita – Mandala 01 Sukta 108.txt
1,109,Rigveda – Shakala Samhita – Mandala 01 Sukta 109.txt
1,110,Rigveda – Shakala Samhita – Mandala 01 Sukta 110.txt
1,111,Rigveda – Shakala Samhita – Mandala 01 Sukta 111.txt
1,112,Rigveda – Shakala Samhita – Mandala 01 Sukta 112.txt
1,113,Rigveda – Shakala Samhita – Mandala 01 Sukta 113.txt
1,114,Rigveda – Shakala Samhita – Mandala 01 Sukta 114.txt
1,115,Rigveda – Shakala Samhita – Mandala 01 Sukta 115.txt
1,116,Rigveda – Shakala Samhita – Mandala 01 Sukta 116.txt
1,117,Rigveda – Shakala Samhita – Mandala 01 Sukta 117.txt
1,118,Rigveda – Shakala Samhita – Mandala 01 Sukta 118.txt
1,119,Rigveda – Shakala Samhita – Mandala 01 Sukta 119.txt
1,120,Rigveda – Shakala Samhita – Mandala 01 Sukta 120.txt
1,121,Rigveda – Shakala Samhita – Mandala 01 Sukta 121.txt
1,122,Rigveda – Shakala Samhita – Mandala 01 Sukta 122.txt
1,123,Rigveda – Shakala Samhita – Mandala 01 Sukta 123.txt
1,124,Rigveda – Shakala Samhita – Mandala 01 Sukta 124.txt
1,125,Rigveda – Shakala Samhita – Mandala 01 Sukta 125.txt
